objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dor011,Temptation of Eve,1450,yes,Berthold Furtmeyr,,"Temptation of Eve, illustrated by Berthold Furtmeyr, found in the Furtmeyr Bible",,allusion,Munich,,,,Wikipedia,Library of Congress,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/c6/Temptation_of_Eve_-_Berthold_Furtmeyr_-_Furtmeyr_Bible_p24.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Temptation_of_Eve_-_Berthold_Furtmeyr_-_Furtmeyr_Bible_p24.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Temptation_of_Eve_-_Berthold_Furtmeyr_-_Furtmeyr_Bible_p24.jpg,,
dor012,"Ancient legends, Mystic Charms & Superstitions of Ireland by Lady Wilde",1887,,Lady Jane Wilde,,"Collection of folklore and mythological tales compiled in the early 20th century. This collection mentions the Leanan Sidhe, an mythical muse who slowly eats away at an artist.",,allusion,Dublin,,,,Wikipedia,Project Gutenberg,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/cache/epub/61436/pg61436-images.html,https://www.gutenberg.org/cache/epub/61436/pg61436.cover.medium.jpg,https://www.gutenberg.org/cache/epub/61436/pg61436.cover.medium.jpg,,
dor013,The School of Athens,1509,yes,Raffaello Sanzio da Urbino,,"Fresco depicting Plato, Aristotle, and other mathematicians, philosophers, and scientists",,allusion,Vatican City,,,,Wikipedia,Apostolic Palace,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,,
dor014,David,1501; 2016,yes,Michelangelo; Jörg Bittner Unna,,Photograph of Michelangelo's David taken at the Galleria dell'Accademia in Florence,,allusion,Florence,,,,Wikipedia,Galleria dell'Accademia,,,Creative Commons Attribution 3.0 Unported,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg,,
dor015,East End,1902,,,,"Dorset Street, Spitalfields. Dorset Street, UK, photographed in 1902 for Jack London's book The People of the Abyss. Miller's Court was reached through an alleyway on the right.",,location,London,,,,Wikipedia,,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/5/57/Dorset-street-1902.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Dorset-street-1902.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Dorset-street-1902.jpg,,
dor016,The Bacchae,405 BC,yes,Euripedes,,The Bacchae is an Ancient Greek tragedy written by Euripides. It tells the story of Dionysus and his followers,,allusion,Athens,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,,,,,,image,https://www.gutenberg.org/files/35173/35173-h/35173-h.htm,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg,,
dor017,The Drunken Silenus,1620,yes,Peter Paul Rubens,,Rubens depiction of Silenus,,allusion,London,,,,Wikipedia,National Gallery of London,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/d/d7/Peter_Paul_Rubens_-_The_Drunken_Silenus_-_WGA20298.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Peter_Paul_Rubens_-_The_Drunken_Silenus_-_WGA20298.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Peter_Paul_Rubens_-_The_Drunken_Silenus_-_WGA20298.jpg,,
dor018,Almack's Assembly Rooms,Late 18th or early 19th century,yes,,,"Almack's Assembly Rooms in King Street, St. James, London. Late 18th or early 19th century.",,location,London,,,,Wikipedia,,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/d/d3/Almack%27s_Assembly_Rooms.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Almack%27s_Assembly_Rooms.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Almack%27s_Assembly_Rooms.jpg,,
dor019,The Athenaeum Club,1830,yes,James Tingle; Thomas Hosmer Shepherd,,The Athenaeum Club in London in 1830. Engraved by James Tingle (1801-1858) from an original study (now in the Museum of London) by Thomas Hosmer Shepherd,,location,London,,,,Wikipedia,,,,Public Doman,Retrieved from Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/a/ae/Athenaeum_in_1830.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Athenaeum_in_1830.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Athenaeum_in_1830.jpg,,
dor020,Les Cent Nouvelles,1899,,Antoine de la Salle; Robert B. Douglas,,Le Cent Nouvelles was a collection of short stories in French about the French bourgeoisée,,allusion,Paris,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/files/18575/18575-h/18575-h.htm,https://www.gutenberg.org/files/18575/18575-h/images/titlepage.jpg,https://www.gutenberg.org/files/18575/18575-h/images/titlepage.jpg,,
dor021,Manon Lescaut,1731,,Antoine François Prévost,,Manon Lescaut is a French tragic Romance novel that tells the story of a nobleman falling in love with a common woman.,,allusion,Amsterdam,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/files/468/468-h/468-h.htm,https://upload.wikimedia.org/wikipedia/commons/2/23/Histoire_du_Chevalier_des_Grieux%2C_et_de_Manon_Lescaut.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Histoire_du_Chevalier_des_Grieux%2C_et_de_Manon_Lescaut.jpg,,
dor022,Lohengrin,August 1850,,"Richard Wagner; Netherlands Philharmonic Orchestra",,Lohengrin is an opera written by Wagner first performed in August 1850.,,allusion,Weimar,,,,YouTube,Netherlands Philharmonic Orchestra,,,"Composition in public domain, video in Copyright",Retrieved from YouTube,Image;MovingImage,video/mp4,,,,record,https://www.youtube.com/watch?v=spBiymIceIY,,,,
dor023,Wardour Street,January 2006,,Redvers,,"Film House at 142 Wardour Street, formerly the headquarters of the Associated British-Pathé film company",,location,London,51.51419,-0.13456,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/d/dd/Film_House_142_Wardour_Street_London_Redvers.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Film_House_142_Wardour_Street_London_Redvers.jpg,,,,
dor024,Piccadilly,1810,,Ackermann,,"A view of Piccadilly from Hyde Park Corner in London, from Ackermann's Repository, 1810.",,location,London,51.50698,-0.14235,,Wikipedia,Ackerman's Repository,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/0/0a/Piccadilly_from_Hyde_Park_Corner_Turnpike%2C_from_Ackermann%27s_Repository%2C_1810.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Piccadilly_from_Hyde_Park_Corner_Turnpike%2C_from_Ackermann%27s_Repository%2C_1810.jpg,,,
dor025,The Idiot Boy,1789,,William Wordsworth,,The Idiot Boy is a long poem first published in Wordsworth's Lyrical Ballads.,,allusion,United Kingdom,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/files/9622/9622-h/9622-h.htm#poem16,,,,
